[2025-12-20 23:00:01] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x96e | src=10.216.16.8:34142 -> dst=10.47.111.60:80 | http=PATCH /api/v1/orders 500 ua="nmap NSE" | ocp=cluster:ocp-lab-01 ns:test pod:api-6d7f8c9b7f-2kq9x node:infra-1 route:api.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.18
[2025-12-20 23:15:56] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x82f | src=10.206.62.60:51147 -> dst=10.217.255.72:8080 | http=DELETE /admin 403 ua="nmap NSE" | ocp=cluster:ocp-lab-01 ns:payments pod:web-5c7b9d4cdd-hm8z1 node:worker-2 route:web.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.45
[2025-12-20 23:16:00] [SALDIRI] KRITIK: Firmware Enjeksiyonu (Simülasyon) | Aksiyon: Bloklandı | Stage: Execution | Rule: FW-INJECT-9001 | ID: 0xa94 | src=190.27.34.128:40646 -> dst=10.13.91.98:8080 | http=POST /api/v1/payments 429 ua="nikto/2.5.0" | ocp=cluster:ocp-lab-01 ns:auth pod:web-5c7b9d4cdd-hm8z1 node:infra-1 route:web.example.lab | neden="Yetkisiz binary/firmware benzeri payload pattern’i tespit edildi." conf=0.93
[2025-12-20 23:16:04] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x87 | src=10.175.9.244:60985 -> dst=10.16.220.226:80 | http=DELETE /wp-login.php 400 ua="sqlmap/1.7.12" | ocp=cluster:ocp-lab-01 ns:auth pod:auth-6c5d7f6cbb-9p3a2 node:infra-1 route:pay.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.26
[2025-12-20 23:16:06] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x7eb | src=10.199.249.196:37316 -> dst=10.56.251.169:8443 | http=DELETE /actuator/health 201 ua="nikto/2.5.0" | ocp=cluster:ocp-lab-01 ns:auth pod:auth-6c5d7f6cbb-9p3a2 node:worker-1 route:pay.example.lab | neden="Health-check başarılı." conf=0.24
[2025-12-20 23:16:10] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x3f7 | src=10.65.187.90:7403 -> dst=10.13.174.98:8443 | http=PUT /admin 401 ua="python-requests/2.31.0" | ocp=cluster:ocp-lab-01 ns:payments pod:api-6d7f8c9b7f-2kq9x node:worker-1 route:api.example.lab | neden="Health-check başarılı." conf=0.33
[2025-12-20 23:16:11] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x191 | src=10.166.19.118:2361 -> dst=10.216.215.69:8443 | http=PATCH / 400 ua="sqlmap/1.7.12" | ocp=cluster:ocp-lab-01 ns:dev pod:payment-7b86c9c7b8-q2v7m node:worker-1 route:api.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.21
[2025-12-20 23:16:12] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x92e | src=10.85.153.94:42668 -> dst=10.223.103.128:80 | http=PATCH /api/v1/orders 301 ua="python-requests/2.31.0" | ocp=cluster:ocp-lab-01 ns:auth pod:gateway-7f8c9d7b6b-x4n1k node:infra-1 route:pay.example.lab | neden="İstekler beklenen davranış aralığında." conf=0.2
[2025-12-20 23:16:14] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x670 | src=10.243.218.54:55008 -> dst=10.177.39.167:8080 | http=PATCH /api/v1/payments 401 ua="nmap NSE" | ocp=cluster:ocp-lab-01 ns:monitoring pod:payment-7b86c9c7b8-q2v7m node:worker-2 route:api.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.17
[2025-12-20 23:16:19] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x691 | src=10.109.239.69:14173 -> dst=10.222.30.134:8080 | http=DELETE /api/v1/users 204 ua="curl/8.5.0" | ocp=cluster:ocp-lab-01 ns:monitoring pod:web-5c7b9d4cdd-hm8z1 node:infra-1 route:auth.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.4
[2025-12-20 23:16:20] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x98 | src=10.207.122.30:17118 -> dst=10.76.98.8:8080 | http=DELETE /wp-login.php 404 ua="sqlmap/1.7.12" | ocp=cluster:ocp-lab-01 ns:payments pod:web-5c7b9d4cdd-hm8z1 node:worker-2 route:web.example.lab | neden="Pod metrikleri stabil." conf=0.33
[2025-12-20 23:16:21] [SALDIRI] KRITIK: Firmware Enjeksiyonu (Simülasyon) | Aksiyon: Bloklandı | Stage: Execution | Rule: FW-INJECT-9001 | ID: 0xd70 | src=10.248.10.15:20552 -> dst=10.42.160.155:80 | http=DELETE /admin 500 ua="nmap NSE" | ocp=cluster:ocp-lab-01 ns:monitoring pod:web-5c7b9d4cdd-hm8z1 node:infra-1 route:api.example.lab | neden="Yetkisiz binary/firmware benzeri payload pattern’i tespit edildi." conf=0.85
[2025-12-20 23:16:23] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x412 | src=10.160.168.214:28737 -> dst=10.199.120.240:443 | http=POST /login 201 ua="curl/8.5.0" | ocp=cluster:ocp-lab-01 ns:auth pod:api-6d7f8c9b7f-2kq9x node:worker-1 route:api.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.25
[2025-12-20 23:16:24] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0xa99 | src=10.126.142.226:47926 -> dst=10.74.185.122:8080 | http=PUT / 500 ua="nikto/2.5.0" | ocp=cluster:ocp-lab-01 ns:payments pod:gateway-7f8c9d7b6b-x4n1k node:worker-2 route:auth.example.lab | neden="Health-check başarılı." conf=0.39
[2025-12-20 23:16:25] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0xe3f | src=10.62.121.220:60647 -> dst=10.226.198.3:8443 | http=PUT /api/v1/payments 200 ua="curl/8.5.0" | ocp=cluster:ocp-lab-01 ns:monitoring pod:auth-6c5d7f6cbb-9p3a2 node:worker-2 route:pay.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.17
[2025-12-20 23:16:26] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x71 | src=10.211.170.184:11532 -> dst=10.216.51.212:8080 | http=PATCH /login 400 ua="sqlmap/1.7.12" | ocp=cluster:ocp-lab-01 ns:payments pod:api-6d7f8c9b7f-2kq9x node:worker-2 route:auth.example.lab | neden="Pod metrikleri stabil." conf=0.26
[2025-12-20 23:16:32] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x223 | src=10.160.42.29:47788 -> dst=10.80.127.133:443 | http=PATCH /.env 400 ua="sqlmap/1.7.12" | ocp=cluster:ocp-lab-01 ns:dev pod:auth-6c5d7f6cbb-9p3a2 node:worker-1 route:pay.example.lab | neden="Pod metrikleri stabil." conf=0.41
[2025-12-20 23:16:38] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x32d | src=10.93.201.225:63159 -> dst=10.193.114.6:80 | http=PATCH /actuator/env 500 ua="curl/8.5.0" | ocp=cluster:ocp-lab-01 ns:test pod:api-6d7f8c9b7f-2kq9x node:worker-2 route:pay.example.lab | neden="Health-check başarılı." conf=0.44
[2025-12-20 23:16:40] [SALDIRI] KRITIK: RBAC Yetki Yükseltme Şüphesi | Aksiyon: Engellendi | Stage: Privilege Escalation | Rule: K8S-RBAC-4005 | ID: 0x7e9 | src=10.87.60.4:45169 -> dst=10.222.232.212:8443 | http=GET /api/v1/orders 204 ua="curl/8.5.0" | ocp=cluster:ocp-lab-01 ns:monitoring pod:payment-7b86c9c7b8-q2v7m node:worker-1 route:api.example.lab | neden="Yüksek ayrıcalık istek paterni normal dışı." conf=0.82
[2025-12-20 23:16:44] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x781 | src=10.74.14.75:30579 -> dst=10.134.120.159:443 | http=PUT /actuator/env 500 ua="nmap NSE" | ocp=cluster:ocp-lab-01 ns:test pod:auth-6c5d7f6cbb-9p3a2 node:worker-1 route:auth.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.13
[2025-12-20 23:16:45] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x813 | src=10.37.48.143:62042 -> dst=10.30.26.86:443 | http=DELETE /admin 429 ua="nmap NSE" | ocp=cluster:ocp-lab-01 ns:auth pod:auth-6c5d7f6cbb-9p3a2 node:infra-1 route:pay.example.lab | neden="Health-check başarılı." conf=0.1
[2025-12-20 23:16:48] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x504 | src=10.133.86.129:31700 -> dst=10.252.173.225:443 | http=GET /admin 404 ua="sqlmap/1.7.12" | ocp=cluster:ocp-lab-01 ns:monitoring pod:api-6d7f8c9b7f-2kq9x node:infra-1 route:web.example.lab | neden="Health-check başarılı." conf=0.19
[2025-12-20 23:16:48] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x2ef | src=10.160.223.229:33220 -> dst=10.84.161.189:443 | http=PATCH /wp-login.php 200 ua="curl/8.5.0" | ocp=cluster:ocp-lab-01 ns:auth pod:payment-7b86c9c7b8-q2v7m node:worker-2 route:pay.example.lab | neden="Health-check başarılı." conf=0.12
[2025-12-20 23:16:49] [SALDIRI] TEHDIT: SQL Injection Denemesi | Aksiyon: Bloklandı | Stage: Initial Access | Rule: WAF-SQLI-3003 | ID: 0xa9d | src=183.248.234.127:23935 -> dst=10.57.75.32:80 | http=POST /api/v1/payments 201 ua="curl/8.5.0" | ocp=cluster:ocp-lab-01 ns:dev pod:auth-6c5d7f6cbb-9p3a2 node:worker-1 route:auth.example.lab | neden="URL/Body içinde şüpheli anahtar kelime kombinasyonları görüldü." conf=0.89
[2025-12-20 23:16:54] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0xa8e | src=10.48.168.7:25505 -> dst=10.145.62.101:80 | http=PUT /api/v1/users 200 ua="Mozilla/5.0" | ocp=cluster:ocp-lab-01 ns:auth pod:api-6d7f8c9b7f-2kq9x node:worker-1 route:auth.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.39
[2025-12-20 23:17:00] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x2da | src=10.66.108.221:53331 -> dst=10.24.144.83:80 | http=GET /actuator/health 429 ua="sqlmap/1.7.12" | ocp=cluster:ocp-lab-01 ns:dev pod:gateway-7f8c9d7b6b-x4n1k node:worker-2 route:pay.example.lab | neden="İstekler beklenen davranış aralığında." conf=0.24
[2025-12-20 23:17:01] [SALDIRI] TEHDIT: TLS Downgrade / Fuzzing | Aksiyon: Bloklandı | Stage: Initial Access | Rule: TLS-ANOM-2001 | ID: 0x903 | src=127.221.158.232:7322 -> dst=10.67.183.171:8080 | http=PATCH /api/v1/orders 403 ua="sqlmap/1.7.12" | ocp=cluster:ocp-lab-01 ns:auth pod:auth-6c5d7f6cbb-9p3a2 node:worker-2 route:web.example.lab | neden="Kısa süreli tekrarlayan handshake hataları fuzzing davranışına benziyor." conf=0.86
[2025-12-20 23:17:02] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0xfc0 | src=10.174.237.174:33485 -> dst=10.114.79.239:80 | http=PUT /wp-login.php 401 ua="Mozilla/5.0" | ocp=cluster:ocp-lab-01 ns:auth pod:auth-6c5d7f6cbb-9p3a2 node:worker-1 route:api.example.lab | neden="Pod metrikleri stabil." conf=0.21
[2025-12-20 23:17:03] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0xa96 | src=10.23.55.131:31475 -> dst=10.217.211.25:8080 | http=PUT /api/v1/payments 429 ua="Mozilla/5.0" | ocp=cluster:ocp-lab-01 ns:monitoring pod:api-6d7f8c9b7f-2kq9x node:infra-1 route:api.example.lab | neden="Health-check başarılı." conf=0.14
[2025-12-20 23:17:05] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x37 | src=10.230.135.88:6150 -> dst=10.95.108.48:8080 | http=GET /.env 404 ua="Mozilla/5.0" | ocp=cluster:ocp-lab-01 ns:auth pod:payment-7b86c9c7b8-q2v7m node:worker-2 route:auth.example.lab | neden="İstekler beklenen davranış aralığında." conf=0.24
[2025-12-20 23:17:06] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0xa66 | src=10.202.154.23:13528 -> dst=10.64.69.4:80 | http=GET /api/v1/orders 200 ua="curl/8.5.0" | ocp=cluster:ocp-lab-01 ns:payments pod:gateway-7f8c9d7b6b-x4n1k node:infra-1 route:pay.example.lab | neden="Pod metrikleri stabil." conf=0.33
[2025-12-20 23:17:08] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x91d | src=10.216.11.30:47069 -> dst=10.85.78.190:8443 | http=DELETE /wp-login.php 200 ua="sqlmap/1.7.12" | ocp=cluster:ocp-lab-01 ns:payments pod:auth-6c5d7f6cbb-9p3a2 node:worker-1 route:auth.example.lab | neden="İstekler beklenen davranış aralığında." conf=0.17
[2025-12-20 23:17:12] [SALDIRI] UYARI: Yan Hareket / Ağ Keşfi | Aksiyon: Bloklandı | Stage: Reconnaissance | Rule: NET-SCAN-1001 | ID: 0x1df | src=104.248.249.60:38799 -> dst=10.31.9.109:8080 | http=PATCH /login 301 ua="nmap NSE" | ocp=cluster:ocp-lab-01 ns:auth pod:auth-6c5d7f6cbb-9p3a2 node:worker-2 route:pay.example.lab | neden="Ağ segmenti içinde sıra dışı keşif trafiği görüldü." conf=0.96
[2025-12-20 23:17:18] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0xd55 | src=10.240.176.113:60600 -> dst=10.118.112.151:8080 | http=PATCH /wp-login.php 201 ua="python-requests/2.31.0" | ocp=cluster:ocp-lab-01 ns:test pod:payment-7b86c9c7b8-q2v7m node:infra-1 route:web.example.lab | neden="Pod metrikleri stabil." conf=0.44
[2025-12-20 23:17:24] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0xffd | src=10.247.66.45:33279 -> dst=10.102.80.156:80 | http=DELETE /wp-login.php 301 ua="curl/8.5.0" | ocp=cluster:ocp-lab-01 ns:monitoring pod:web-5c7b9d4cdd-hm8z1 node:worker-2 route:api.example.lab | neden="Health-check başarılı." conf=0.29
[2025-12-20 23:17:25] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0xda8 | src=10.220.58.159:15710 -> dst=10.116.61.144:8443 | http=PUT /admin 400 ua="Mozilla/5.0" | ocp=cluster:ocp-lab-01 ns:monitoring pod:api-6d7f8c9b7f-2kq9x node:worker-1 route:pay.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.41
[2025-12-20 23:17:30] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x7fa | src=10.52.21.130:8761 -> dst=10.53.85.162:443 | http=PUT /api/v1/users 301 ua="nmap NSE" | ocp=cluster:ocp-lab-01 ns:auth pod:auth-6c5d7f6cbb-9p3a2 node:worker-1 route:api.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.37
[2025-12-20 23:17:31] [SALDIRI] KRITIK: Firmware Enjeksiyonu (Simülasyon) | Aksiyon: Bloklandı | Stage: Execution | Rule: FW-INJECT-9001 | ID: 0xaa4 | src=10.3.125.214:34121 -> dst=10.242.174.74:443 | http=GET /api/v1/payments 400 ua="nmap NSE" | ocp=cluster:ocp-lab-01 ns:test pod:api-6d7f8c9b7f-2kq9x node:worker-1 route:auth.example.lab | neden="Beklenmedik imza/format ve tekrar denemeler kritik ihlal göstergesi." conf=0.84
[2025-12-20 23:17:33] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x64b | src=10.185.15.114:53862 -> dst=10.74.5.184:80 | http=GET /admin 400 ua="sqlmap/1.7.12" | ocp=cluster:ocp-lab-01 ns:auth pod:auth-6c5d7f6cbb-9p3a2 node:worker-2 route:auth.example.lab | neden="İstekler beklenen davranış aralığında." conf=0.25
[2025-12-20 23:17:39] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0xe34 | src=10.155.160.233:19359 -> dst=10.176.4.212:443 | http=DELETE /wp-login.php 500 ua="curl/8.5.0" | ocp=cluster:ocp-lab-01 ns:monitoring pod:payment-7b86c9c7b8-q2v7m node:worker-2 route:auth.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.34
[2025-12-20 23:17:45] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0xcbf | src=10.199.64.134:34556 -> dst=10.145.109.24:8080 | http=PATCH /admin 500 ua="curl/8.5.0" | ocp=cluster:ocp-lab-01 ns:dev pod:api-6d7f8c9b7f-2kq9x node:infra-1 route:pay.example.lab | neden="İstekler beklenen davranış aralığında." conf=0.11
[2025-12-20 23:17:48] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0xfbb | src=10.190.132.161:50605 -> dst=10.181.63.13:80 | http=DELETE /api/v1/payments 429 ua="nmap NSE" | ocp=cluster:ocp-lab-01 ns:monitoring pod:api-6d7f8c9b7f-2kq9x node:infra-1 route:api.example.lab | neden="Health-check başarılı." conf=0.26
[2025-12-20 23:17:50] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x150 | src=10.193.126.27:52047 -> dst=10.167.98.211:8080 | http=DELETE /login 201 ua="nmap NSE" | ocp=cluster:ocp-lab-01 ns:payments pod:payment-7b86c9c7b8-q2v7m node:infra-1 route:web.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.39
[2025-12-20 23:17:51] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x753 | src=10.202.135.150:46179 -> dst=10.255.216.113:8443 | http=DELETE /api/v1/users 201 ua="nikto/2.5.0" | ocp=cluster:ocp-lab-01 ns:auth pod:api-6d7f8c9b7f-2kq9x node:worker-2 route:auth.example.lab | neden="Health-check başarılı." conf=0.27
[2025-12-20 23:17:53] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x5fe | src=10.189.60.155:25245 -> dst=10.209.56.31:8080 | http=GET /actuator/health 201 ua="Mozilla/5.0" | ocp=cluster:ocp-lab-01 ns:auth pod:auth-6c5d7f6cbb-9p3a2 node:worker-1 route:web.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.21
[2025-12-20 23:17:57] [SALDIRI] TEHDIT: TLS Downgrade / Fuzzing | Aksiyon: Bloklandı | Stage: Initial Access | Rule: TLS-ANOM-2001 | ID: 0xe68 | src=10.110.93.210:36907 -> dst=10.250.1.32:8080 | http=GET / 401 ua="sqlmap/1.7.12" | ocp=cluster:ocp-lab-01 ns:monitoring pod:auth-6c5d7f6cbb-9p3a2 node:worker-1 route:pay.example.lab | neden="Kısa süreli tekrarlayan handshake hataları fuzzing davranışına benziyor." conf=0.89
[2025-12-20 23:18:01] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0xa56 | src=10.76.166.23:60022 -> dst=10.209.198.60:8443 | http=PUT /actuator/health 200 ua="nmap NSE" | ocp=cluster:ocp-lab-01 ns:monitoring pod:auth-6c5d7f6cbb-9p3a2 node:worker-2 route:auth.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.36
[2025-12-20 23:18:01] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x88a | src=10.96.243.129:62377 -> dst=10.9.61.169:443 | http=GET /api/v1/payments 204 ua="curl/8.5.0" | ocp=cluster:ocp-lab-01 ns:monitoring pod:api-6d7f8c9b7f-2kq9x node:worker-1 route:api.example.lab | neden="Pod metrikleri stabil." conf=0.13
[2025-12-20 23:18:05] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x170 | src=10.12.162.98:65235 -> dst=10.131.46.30:80 | http=PATCH /api/v1/users 301 ua="curl/8.5.0" | ocp=cluster:ocp-lab-01 ns:payments pod:auth-6c5d7f6cbb-9p3a2 node:worker-1 route:auth.example.lab | neden="Health-check başarılı." conf=0.19
[2025-12-20 23:18:06] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x98e | src=10.152.199.26:59548 -> dst=10.163.72.106:8080 | http=PUT /.env 200 ua="Mozilla/5.0" | ocp=cluster:ocp-lab-01 ns:test pod:api-6d7f8c9b7f-2kq9x node:infra-1 route:api.example.lab | neden="İstekler beklenen davranış aralığında." conf=0.18
[2025-12-20 23:18:10] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x8e1 | src=10.208.33.124:16342 -> dst=10.14.208.163:80 | http=PUT /actuator/health 429 ua="nmap NSE" | ocp=cluster:ocp-lab-01 ns:payments pod:api-6d7f8c9b7f-2kq9x node:worker-2 route:auth.example.lab | neden="Health-check başarılı." conf=0.19
[2025-12-20 23:18:12] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x2ae | src=10.191.86.201:60759 -> dst=10.125.216.247:8443 | http=GET / 403 ua="nikto/2.5.0" | ocp=cluster:ocp-lab-01 ns:dev pod:gateway-7f8c9d7b6b-x4n1k node:worker-1 route:web.example.lab | neden="Pod metrikleri stabil." conf=0.33
[2025-12-20 23:18:13] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0xf52 | src=10.23.82.190:26930 -> dst=10.35.153.23:80 | http=POST /actuator/health 301 ua="sqlmap/1.7.12" | ocp=cluster:ocp-lab-01 ns:payments pod:web-5c7b9d4cdd-hm8z1 node:infra-1 route:pay.example.lab | neden="Health-check başarılı." conf=0.31
[2025-12-20 23:18:19] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x69d | src=10.174.107.118:46364 -> dst=10.168.8.234:443 | http=GET /actuator/env 403 ua="Mozilla/5.0" | ocp=cluster:ocp-lab-01 ns:payments pod:web-5c7b9d4cdd-hm8z1 node:infra-1 route:pay.example.lab | neden="Health-check başarılı." conf=0.34
[2025-12-20 23:18:25] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0xbe4 | src=10.63.180.249:12636 -> dst=10.192.183.100:80 | http=GET /wp-login.php 400 ua="curl/8.5.0" | ocp=cluster:ocp-lab-01 ns:dev pod:gateway-7f8c9d7b6b-x4n1k node:worker-1 route:auth.example.lab | neden="Pod metrikleri stabil." conf=0.1
[2025-12-20 23:18:26] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x471 | src=10.113.119.251:19423 -> dst=10.252.185.10:8443 | http=PATCH /api/v1/orders 200 ua="curl/8.5.0" | ocp=cluster:ocp-lab-01 ns:dev pod:gateway-7f8c9d7b6b-x4n1k node:infra-1 route:pay.example.lab | neden="Pod metrikleri stabil." conf=0.14
[2025-12-20 23:18:30] [SALDIRI] TEHDIT: TLS Downgrade / Fuzzing | Aksiyon: Bloklandı | Stage: Initial Access | Rule: TLS-ANOM-2001 | ID: 0x52c | src=147.116.140.50:37731 -> dst=10.11.129.175:8443 | http=GET /.env 500 ua="nmap NSE" | ocp=cluster:ocp-lab-01 ns:dev pod:gateway-7f8c9d7b6b-x4n1k node:worker-1 route:api.example.lab | neden="TLS el sıkışmasında anormal sürüm/şifre takımı denemeleri tespit edildi." conf=0.95
[2025-12-20 23:18:34] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x39d | src=10.24.142.236:1362 -> dst=10.215.229.81:8443 | http=POST /admin 200 ua="nikto/2.5.0" | ocp=cluster:ocp-lab-01 ns:payments pod:gateway-7f8c9d7b6b-x4n1k node:worker-1 route:web.example.lab | neden="Health-check başarılı." conf=0.45
[2025-12-20 23:18:38] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0xd52 | src=10.49.14.123:53270 -> dst=10.221.12.152:8080 | http=PUT /api/v1/orders 200 ua="sqlmap/1.7.12" | ocp=cluster:ocp-lab-01 ns:test pod:payment-7b86c9c7b8-q2v7m node:worker-2 route:api.example.lab | neden="İstekler beklenen davranış aralığında." conf=0.44
[2025-12-20 23:18:39] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x6e9 | src=10.228.63.22:21555 -> dst=10.31.17.97:80 | http=POST / 403 ua="Mozilla/5.0" | ocp=cluster:ocp-lab-01 ns:monitoring pod:gateway-7f8c9d7b6b-x4n1k node:worker-2 route:api.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.31
[2025-12-20 23:18:41] [SALDIRI] UYARI: Yan Hareket / Ağ Keşfi | Aksiyon: Bloklandı | Stage: Reconnaissance | Rule: NET-SCAN-1001 | ID: 0x1bb | src=155.5.232.99:41670 -> dst=10.237.219.226:80 | http=PUT / 403 ua="nikto/2.5.0" | ocp=cluster:ocp-lab-01 ns:auth pod:auth-6c5d7f6cbb-9p3a2 node:worker-1 route:auth.example.lab | neden="Ağ segmenti içinde sıra dışı keşif trafiği görüldü." conf=0.89
